index,daya_baterai,bluetooth,kecepatan_clock,dual_sim,kamera_depan,four_g,memori_internal,tebal_hp,berat_hp,jumlah_prosesor,kamera_belakang_mp,px_panjang,px_lebar,kapasitas_ram,panjang_layar,lebar_layar,waktu_telfon,three_g,touch_screen,wifi,price_range
1126,635,1,0.6,1,1,Ya,50,0.3,97,5,13,193,989,2107,13.0,12,12,1,0,0,1000k-<2000k
473,932,1,0.5,0,1,Ya,60,0.7,104,4,2,268,1078,1459,6.0,1,19,1,1,0,0-<1000k
1671,1146,0,3.0,0,5,Ya,57,0.4,111,5,10,73,583,291,19.0,9,11,1,1,1,0-<1000k
1977,1379,0,1.1,1,1,Ya,18,0.2,129,2,16,838,885,2358,10.0,5,15,1,1,0,2000k-3000k
704,1358,0,2.5,1,0,Tidak,20,0.6,135,7,0,1485,1655,3406,5.0,1,11,0,0,1,>3000k
308,1530,0,2.0,0,11,Tidak,42,0.8,177,6,13,454,1975,725,11.0,10,19,0,0,1,0-<1000k
1419,820,0,0.5,1,2,Tidak,58,0.3,160,4,4,468,694,1284,17.0,7,17,0,0,1,0-<1000k
1070,1659,1,2.5,0,2,Tidak,41,0.1,88,7,18,787,1515,545,,0,9,0,1,1,0-<1000k
1359,1949,1,0.5,1,2,Ya,31,0.1,145,5,9,837,1182,832,7.0,3,19,1,0,0,1000k-<2000k
381,1482,0,0.5,0,2,Tidak,48,0.2,142,7,10,634,642,2971,,8,12,1,1,1,2000k-3000k
759,1030,0,1.6,1,3,Ya,58,0.2,138,6,20,1111,1812,2858,6.0,2,18,1,1,1,>3000k
1038,1122,0,2.8,0,0,Tidak,28,0.6,184,3,4,1578,1963,1402,14.0,10,3,0,1,0,1000k-<2000k
414,707,0,2.1,1,2,Tidak,25,0.8,131,3,17,495,574,3838,9.0,2,7,1,0,1,>3000k
558,723,1,1.9,0,4,Tidak,30,0.3,102,1,7,1467,1901,2339,19.0,9,17,0,1,1,2000k-3000k
619,598,0,2.3,1,7,Tidak,21,0.7,196,2,10,680,1173,3293,8.0,4,7,1,0,1,2000k-3000k
1277,1528,0,2.4,0,2,Tidak,37,0.2,156,8,3,306,564,733,15.0,0,14,1,1,0,0-<1000k
1664,1288,0,0.5,1,3,Ya,61,0.2,115,6,6,988,1503,1882,16.0,6,10,1,0,1,2000k-3000k
553,1544,0,2.3,0,12,Ya,45,0.1,113,8,20,236,857,1300,8.0,7,18,1,1,0,1000k-<2000k
1839,1660,0,0.6,0,2,Ya,24,0.8,169,2,3,223,1777,2402,,10,14,1,1,1,2000k-3000k
1258,1872,1,0.5,1,14,Tidak,49,0.2,139,7,18,81,1389,3153,16.0,15,5,1,1,0,>3000k
198,609,0,0.5,0,3,Tidak,26,0.3,93,4,4,938,1948,1866,11.0,10,14,1,1,1,1000k-<2000k
726,614,0,1.7,1,0,Ya,58,0.2,128,7,2,22,519,3487,15.0,6,11,1,1,1,2000k-3000k
991,860,1,1.6,1,13,Tidak,48,0.5,187,7,18,335,1463,1870,17.0,2,18,1,0,0,1000k-<2000k
1199,894,0,0.7,0,2,Ya,58,0.1,123,2,3,158,747,3305,,7,2,1,0,0,2000k-3000k
142,1537,1,2.5,0,4,Ya,43,0.3,137,1,5,839,1131,3685,18.0,17,17,1,1,1,>3000k
838,854,0,0.5,0,2,Tidak,30,0.5,125,8,5,518,1152,2889,5.0,2,11,0,0,1,2000k-3000k
196,1989,0,2.5,1,0,Ya,41,0.8,94,3,13,1100,1497,1665,17.0,9,12,1,1,1,2000k-3000k
1707,1699,1,0.5,0,16,Tidak,21,0.1,156,4,20,105,1099,1181,16.0,0,18,1,1,0,1000k-<2000k
315,1126,0,0.7,0,3,Tidak,49,0.9,165,8,17,114,1726,3739,14.0,1,13,1,0,0,>3000k
1325,912,0,0.7,0,3,Tidak,47,0.9,182,3,6,724,794,1321,7.0,2,6,0,1,1,0-<1000k
170,1270,1,0.6,1,2,Ya,32,0.5,101,7,6,299,845,3770,5.0,3,13,1,1,0,>3000k
1951,1327,0,2.8,0,10,Tidak,23,0.5,89,7,16,441,1721,872,7.0,5,4,1,1,1,0-<1000k
1099,1697,0,0.5,0,0,Ya,60,0.1,90,4,0,88,1046,441,15.0,1,11,1,1,0,0-<1000k
22,1949,0,2.6,1,4,Tidak,47,0.3,199,4,7,407,822,1433,11.0,5,20,0,0,1,1000k-<2000k
45,1514,0,2.9,0,0,Tidak,27,0.2,118,3,1,186,1810,1152,8.0,3,20,0,1,1,1000k-<2000k
1960,1063,0,2.0,0,0,Tidak,27,0.2,86,6,7,201,582,2668,,5,19,0,0,0,2000k-3000k
467,1433,0,1.6,0,7,Tidak,4,0.7,133,8,11,281,799,258,11.0,9,4,1,1,1,0-<1000k
1606,557,0,0.5,1,3,Tidak,17,0.2,89,6,4,322,710,2623,17.0,16,16,0,0,0,1000k-<2000k
1399,672,0,0.5,0,7,Ya,35,0.1,99,8,17,574,1267,1403,16.0,7,6,1,0,0,0-<1000k
1332,614,0,2.9,1,3,Ya,24,0.2,94,4,7,409,603,1930,13.0,12,4,1,0,1,1000k-<2000k
442,902,1,0.7,0,3,Tidak,3,0.3,134,7,9,675,1285,3411,,11,15,0,0,1,>3000k
988,1413,1,0.5,1,4,Ya,45,0.4,104,5,6,1920,1994,2973,17.0,8,15,1,0,1,>3000k
319,1097,0,2.1,1,6,Tidak,64,0.2,161,3,8,419,1914,1725,14.0,5,9,1,0,1,1000k-<2000k
184,1502,1,1.2,0,0,Tidak,54,0.2,138,5,12,65,588,3693,17.0,14,16,1,1,0,>3000k
1515,595,0,2.6,0,0,Ya,20,0.4,122,2,18,623,816,1593,19.0,11,2,1,0,1,0-<1000k
1402,948,0,,1,6,Tidak,18,0.3,119,4,7,340,1728,2926,17.0,13,9,1,1,1,2000k-3000k
666,890,1,2.2,1,4,Tidak,44,0.5,198,8,13,1074,1873,751,7.0,3,3,0,0,0,0-<1000k
1408,1791,1,0.5,1,1,Ya,33,0.5,110,5,4,371,682,594,17.0,8,16,1,0,1,0-<1000k
539,525,1,0.5,1,5,Tidak,51,0.5,137,8,11,262,1587,1891,18.0,3,12,0,1,0,1000k-<2000k
1856,1786,0,2.6,0,6,Tidak,14,1.0,115,4,15,616,912,3038,18.0,0,14,1,0,0,>3000k
1456,1404,0,2.1,0,16,Tidak,44,0.9,151,1,20,1703,1880,1196,10.0,6,5,0,0,1,1000k-<2000k
792,1647,0,1.4,1,3,Ya,38,0.3,102,6,15,193,1185,2532,16.0,14,15,1,0,1,2000k-3000k
829,833,1,2.2,0,4,Tidak,27,0.9,124,1,6,359,1395,2150,9.0,5,7,0,1,1,1000k-<2000k
1910,1872,1,1.9,0,5,Tidak,35,0.6,111,3,14,1546,1879,2419,15.0,5,19,0,0,0,>3000k
210,1395,0,1.8,1,0,Tidak,23,0.1,111,3,1,213,705,2571,11.0,0,13,1,0,1,2000k-3000k
632,946,0,2.1,0,0,Ya,19,0.2,154,8,0,159,630,2104,7.0,4,16,1,1,0,1000k-<2000k
817,918,0,0.9,1,1,Tidak,8,0.1,123,7,5,653,671,1652,17.0,4,14,1,1,0,1000k-<2000k
1534,622,1,1.9,1,12,Tidak,11,0.8,193,8,14,760,1964,3183,5.0,0,4,1,1,1,2000k-3000k
805,1642,1,1.6,1,0,Tidak,5,0.4,102,5,2,1686,1889,1333,18.0,0,2,0,0,1,2000k-3000k
1873,1442,0,0.6,1,1,Tidak,27,0.4,127,5,8,266,642,991,14.0,8,7,1,0,0,0-<1000k
841,510,0,1.7,1,3,Tidak,35,0.8,120,3,6,382,1228,2509,17.0,2,11,0,1,1,1000k-<2000k
108,1135,1,2.0,1,0,Tidak,46,0.3,83,1,4,293,1846,3029,19.0,17,9,1,1,1,>3000k
665,1721,1,0.5,1,4,Ya,33,0.5,128,4,5,871,1048,707,19.0,2,5,1,1,1,0-<1000k
1214,582,0,0.5,0,8,Tidak,32,0.7,107,3,11,1043,1702,2977,6.0,1,20,0,1,1,2000k-3000k
2,563,1,0.5,1,2,Ya,41,0.9,145,5,6,1263,1716,2603,11.0,2,9,1,1,0,2000k-3000k
1719,833,1,0.6,1,0,Ya,27,0.3,145,4,2,649,1290,586,19.0,8,19,1,0,1,0-<1000k
1702,1424,1,2.9,1,0,Tidak,20,0.6,180,5,0,181,1199,2658,15.0,0,19,1,0,0,2000k-3000k
1287,860,1,1.3,1,1,Ya,49,0.7,141,6,13,692,979,3869,16.0,14,20,1,1,1,>3000k
482,1330,1,1.3,1,14,Tidak,3,0.3,83,5,17,980,1262,463,14.0,6,11,0,0,1,0-<1000k
768,1149,1,2.2,0,4,Tidak,30,0.2,106,6,5,1617,1675,3755,17.0,14,8,1,0,0,>3000k
372,1703,1,,1,16,Ya,55,0.7,138,5,19,1411,1711,2993,5.0,1,20,1,1,1,>3000k
576,587,1,2.3,1,4,Tidak,6,0.7,170,1,16,612,1793,2777,9.0,2,14,1,1,0,2000k-3000k
211,1539,1,2.6,0,0,Tidak,41,0.1,159,8,0,1112,1666,2107,15.0,9,10,1,0,1,2000k-3000k
520,1875,1,0.5,1,11,Ya,55,0.7,91,1,17,1802,1942,2712,7.0,2,6,1,0,1,>3000k
1026,606,0,2.5,0,1,Ya,53,0.2,146,4,2,465,1152,1223,19.0,12,7,1,0,0,0-<1000k
1990,1617,1,2.4,0,8,Ya,36,0.8,85,1,9,743,1426,296,5.0,3,7,1,0,0,0-<1000k
1537,733,0,0.8,0,7,Tidak,16,0.4,138,4,12,202,1787,2648,,0,19,1,1,0,2000k-3000k
1330,1766,1,1.3,0,1,Tidak,29,0.5,194,8,20,439,1306,2316,19.0,2,6,0,0,1,2000k-3000k
621,1944,1,0.5,0,5,Ya,36,0.1,197,6,18,1060,1970,584,17.0,14,13,1,1,0,1000k-<2000k
1294,589,1,0.5,0,1,Ya,59,0.7,146,8,4,759,1858,362,16.0,10,6,1,1,1,0-<1000k
1570,1546,1,1.6,1,2,Ya,27,0.7,124,2,6,1138,1491,267,,10,16,1,1,0,0-<1000k
1746,1261,0,0.5,0,3,Ya,52,0.3,86,2,9,605,1429,1365,9.0,3,16,1,0,1,1000k-<2000k
96,1355,0,2.3,0,10,Ya,23,0.2,132,5,16,651,891,880,19.0,4,8,1,1,0,0-<1000k
687,768,0,0.5,1,0,Tidak,19,0.9,159,2,1,637,991,1145,19.0,1,7,0,0,1,0-<1000k
178,947,0,0.8,1,0,Ya,22,0.1,197,2,13,1176,1220,2842,16.0,12,2,1,0,0,2000k-3000k
641,518,0,0.8,1,0,Tidak,3,0.1,178,7,1,437,1947,2832,5.0,0,8,1,0,1,2000k-3000k
813,721,1,1.3,1,10,Tidak,16,0.9,125,1,18,408,1862,1713,10.0,3,4,0,1,1,1000k-<2000k
1078,1312,1,0.8,1,0,Tidak,24,0.9,156,6,0,115,1791,3833,14.0,13,17,0,1,0,>3000k
923,1027,1,2.2,0,0,Tidak,63,0.8,102,5,4,152,714,1732,8.0,5,13,0,1,1,1000k-<2000k
513,1417,1,0.5,0,10,Ya,45,0.9,166,4,19,364,1029,2129,13.0,9,12,1,0,1,1000k-<2000k
71,1407,1,2.4,0,1,Ya,22,0.7,104,4,4,1172,1217,2192,9.0,7,13,1,0,1,2000k-3000k
965,1379,0,0.5,1,1,Tidak,19,0.3,134,8,17,387,671,3912,11.0,2,19,0,1,1,>3000k
581,1512,1,0.5,0,8,Ya,18,0.1,88,3,17,1079,1897,3607,,10,6,1,1,1,>3000k
748,798,0,2.4,0,5,Tidak,4,0.2,96,3,9,526,643,2965,15.0,7,14,1,1,0,2000k-3000k
1535,600,1,1.8,0,9,Ya,6,0.8,199,2,15,486,1032,3495,17.0,4,7,1,1,0,2000k-3000k
483,1476,0,0.5,0,0,Ya,43,0.7,148,2,2,1789,1972,3644,15.0,10,6,1,0,1,>3000k
1860,1646,0,2.5,0,3,Ya,25,0.6,200,2,5,211,1608,686,8.0,6,11,1,1,0,0-<1000k
1064,1872,0,0.5,1,3,Tidak,17,0.7,89,6,6,1749,1767,724,17.0,3,9,1,0,1,1000k-<2000k
456,1172,1,2.1,1,4,Tidak,41,0.1,95,3,7,1314,1884,1107,7.0,3,5,0,0,0,1000k-<2000k
68,1242,0,1.1,1,0,Tidak,10,0.6,165,2,1,459,1225,1050,11.0,1,4,1,0,1,0-<1000k
1559,671,0,2.9,0,7,Ya,2,0.1,95,6,19,614,1617,2278,13.0,4,2,1,0,0,2000k-3000k
1995,794,1,0.5,1,0,Ya,2,0.8,106,6,14,1222,1890,668,13.0,4,19,1,1,0,0-<1000k
231,1313,1,1.8,1,4,Tidak,9,0.4,105,1,6,416,1308,3791,11.0,10,6,0,1,1,>3000k
1855,856,1,1.1,1,14,Ya,19,0.7,125,6,19,1057,1931,650,17.0,0,10,1,0,1,0-<1000k
1168,1250,1,1.4,0,8,Tidak,44,0.2,182,7,20,703,1011,1882,14.0,1,14,0,0,0,1000k-<2000k
432,1421,0,2.8,0,0,Ya,57,0.4,165,1,2,781,1657,2775,13.0,8,14,1,0,1,>3000k
711,1744,1,1.0,0,1,Ya,20,0.5,112,8,3,68,718,1205,18.0,7,14,1,0,0,1000k-<2000k
1125,1106,1,1.9,0,4,Tidak,54,0.7,107,3,9,614,1212,2674,9.0,3,9,1,0,1,2000k-3000k
1768,719,1,0.5,1,0,Ya,23,0.4,113,6,9,431,1727,3990,14.0,9,12,1,1,1,>3000k
1047,576,0,1.2,0,1,Tidak,30,0.8,162,8,5,847,893,2800,11.0,6,16,0,1,1,2000k-3000k
1734,1285,0,0.8,1,4,Ya,11,0.8,199,5,7,1791,1896,3966,17.0,15,2,1,1,1,>3000k
354,848,1,2.1,1,10,Ya,19,0.8,148,7,18,176,1029,3359,10.0,0,14,1,0,0,2000k-3000k
567,1269,1,1.3,0,14,Tidak,52,0.8,118,2,15,1597,1920,665,18.0,5,5,0,0,0,1000k-<2000k
1841,592,0,0.8,1,1,Tidak,52,0.9,103,7,10,332,970,1507,5.0,0,4,0,0,1,0-<1000k
1318,1275,1,0.5,1,3,Ya,5,0.2,152,1,9,19,501,3784,13.0,4,4,1,1,0,>3000k
1783,1251,0,0.5,1,10,Ya,29,0.7,133,6,16,308,591,1052,11.0,9,11,1,0,0,0-<1000k
828,1965,0,0.5,0,6,Ya,4,1.0,84,7,9,977,1660,3535,17.0,0,16,1,1,1,>3000k
224,1686,1,2.8,1,3,Tidak,38,0.1,166,4,4,397,1453,2958,14.0,11,2,0,0,0,>3000k
1767,1136,1,1.6,0,15,Tidak,32,0.5,150,6,19,961,1030,3210,10.0,3,8,1,1,1,>3000k
218,1886,0,0.5,0,0,Ya,24,0.4,112,3,1,809,1958,1179,16.0,7,20,1,0,1,1000k-<2000k
16,838,0,0.5,0,1,Ya,13,0.1,196,8,4,984,1850,3554,10.0,9,19,1,0,1,>3000k
1898,684,1,0.9,1,3,Ya,63,1.0,157,5,9,159,1738,3756,17.0,5,12,1,1,1,>3000k
367,825,0,2.9,1,0,Tidak,34,0.8,99,8,17,1471,1866,2915,8.0,2,10,1,1,0,>3000k
1432,630,0,2.0,0,9,Ya,14,0.5,180,8,13,66,1448,1212,,8,12,1,0,0,0-<1000k
1391,794,0,2.5,1,15,Tidak,14,0.6,197,3,19,312,1376,2171,19.0,8,18,0,0,1,1000k-<2000k
295,1162,0,2.0,0,0,Ya,56,0.7,114,7,1,56,997,1652,5.0,0,20,1,0,0,1000k-<2000k
364,916,1,2.6,0,0,Tidak,36,0.3,195,4,12,188,992,1470,13.0,0,14,0,1,0,0-<1000k
862,1065,1,0.5,0,0,Ya,14,0.7,89,2,2,188,928,3078,10.0,1,18,1,0,1,2000k-3000k
1751,508,1,1.3,0,1,Tidak,50,0.7,82,5,9,102,1195,2175,14.0,4,14,0,0,1,1000k-<2000k
1403,1328,1,0.5,0,5,Ya,27,0.3,144,3,18,602,1156,2674,7.0,2,5,1,0,1,2000k-3000k
1184,1314,1,2.2,0,0,Ya,40,0.8,116,7,1,328,1858,3033,9.0,8,17,1,1,1,>3000k
717,1397,0,2.4,1,5,Ya,3,0.2,121,3,15,433,1658,1378,18.0,15,4,1,1,1,1000k-<2000k
1649,1307,0,1.8,0,2,Tidak,7,0.6,88,7,3,897,1103,1412,16.0,9,5,0,0,1,1000k-<2000k
1079,1893,1,0.5,1,1,Tidak,23,0.1,179,8,3,1203,1432,1482,15.0,7,17,0,1,0,2000k-3000k
1983,1262,0,1.8,1,12,Tidak,34,0.1,149,5,16,223,737,3248,13.0,3,4,0,1,1,2000k-3000k
542,569,0,0.6,1,2,Tidak,39,0.1,184,8,9,389,739,2811,7.0,6,7,1,0,1,1000k-<2000k
916,816,1,0.5,0,4,Tidak,14,0.9,198,3,13,149,558,1018,17.0,10,15,1,0,0,0-<1000k
733,720,1,1.4,1,0,Ya,61,0.6,96,7,8,1347,1733,2799,5.0,3,15,1,0,1,>3000k
1681,807,1,0.5,1,0,Tidak,37,0.2,127,4,0,245,829,2319,5.0,4,4,0,0,0,1000k-<2000k
552,726,0,2.9,0,0,Tidak,43,0.1,101,8,0,666,760,1446,17.0,2,8,1,1,0,0-<1000k
362,1976,1,0.7,1,4,Tidak,32,0.8,171,2,7,1301,1922,3699,17.0,11,13,0,1,1,>3000k
549,1002,0,0.8,1,0,Ya,35,0.5,83,2,4,1345,1416,1726,16.0,5,19,1,0,1,1000k-<2000k
42,1253,1,0.5,1,5,Ya,5,0.2,152,2,19,685,714,1878,15.0,0,4,1,1,0,1000k-<2000k
1259,1796,0,1.6,1,5,Tidak,7,0.1,101,4,6,667,798,1642,9.0,4,3,0,1,1,1000k-<2000k
810,691,1,2.7,1,4,Ya,33,0.9,108,4,8,951,962,424,5.0,3,15,1,1,1,0-<1000k
1755,1322,0,2.3,1,1,Ya,35,0.1,157,1,3,443,708,3684,15.0,8,6,1,0,0,>3000k
1879,983,0,1.8,0,0,Ya,53,0.9,187,1,4,1001,1176,1389,17.0,8,8,1,1,1,1000k-<2000k
652,1462,1,1.7,1,1,Tidak,25,0.2,182,7,18,91,1478,824,15.0,5,13,1,0,1,0-<1000k
535,1185,0,1.9,0,0,Tidak,31,0.4,152,8,7,837,1642,2447,16.0,2,3,1,1,1,2000k-3000k
1826,925,1,2.1,0,9,Tidak,56,0.2,196,1,14,1262,1520,2466,8.0,0,5,1,0,0,2000k-3000k
740,1004,1,2.9,1,0,Tidak,35,0.2,141,6,9,901,1162,3772,17.0,8,18,0,1,1,>3000k
1882,591,0,2.1,1,16,Ya,16,0.5,196,7,20,952,1726,704,14.0,5,4,1,1,1,0-<1000k
642,1063,1,2.5,0,0,Ya,31,0.9,95,6,10,295,935,961,16.0,6,5,1,1,0,0-<1000k
1878,608,1,0.5,1,0,Tidak,64,0.9,94,4,0,4,1351,2517,16.0,8,7,1,1,1,1000k-<2000k
554,1454,1,1.6,0,6,Ya,21,0.2,160,4,10,186,1100,719,14.0,10,10,1,1,1,0-<1000k
157,1224,0,0.5,0,16,Ya,6,0.4,109,6,18,747,826,506,10.0,0,11,1,1,1,0-<1000k
527,1780,1,0.5,0,6,Tidak,27,0.1,190,4,11,1331,1463,2776,19.0,17,14,1,1,1,>3000k
649,709,1,2.0,1,0,Tidak,35,0.1,136,1,0,1545,1596,1973,,9,16,0,1,1,1000k-<2000k
309,1997,1,1.8,1,1,Tidak,40,0.5,185,4,8,866,1212,1655,7.0,6,15,1,0,0,2000k-3000k
1315,1510,0,0.6,1,1,Tidak,32,0.7,135,3,8,963,1520,854,8.0,2,10,1,0,1,1000k-<2000k
1503,1762,0,0.7,0,7,Tidak,60,0.1,157,4,10,643,790,1380,14.0,5,14,1,0,0,1000k-<2000k
593,1395,1,2.8,0,0,Ya,55,0.6,118,3,1,782,1787,3373,11.0,2,16,1,1,0,>3000k
1193,1130,0,1.8,1,0,Tidak,27,0.9,101,1,8,1495,1579,315,14.0,5,11,1,1,0,0-<1000k
1795,527,0,0.7,1,4,Tidak,53,0.9,128,1,11,67,1924,1302,13.0,7,13,0,0,0,0-<1000k
1254,1083,0,1.0,0,6,Tidak,52,0.9,126,2,20,925,1469,681,19.0,18,19,1,1,1,0-<1000k
65,616,0,1.9,1,13,Ya,44,0.8,81,3,17,651,1618,3366,18.0,8,13,1,1,0,>3000k
1474,1617,1,2.6,0,14,Tidak,29,0.9,113,6,20,283,676,3685,13.0,1,18,0,0,0,>3000k
1498,881,0,1.0,0,1,Tidak,64,0.5,160,3,6,115,636,2110,18.0,9,6,1,1,1,1000k-<2000k
893,1181,0,2.3,0,12,Ya,61,0.6,116,2,16,385,831,2020,6.0,0,18,1,1,0,1000k-<2000k
1123,1729,1,2.1,1,1,Tidak,12,0.9,186,1,6,461,1178,1519,9.0,4,5,1,0,1,1000k-<2000k
420,1456,1,0.5,1,7,Tidak,7,0.4,105,5,12,823,1104,1587,6.0,5,20,1,0,1,1000k-<2000k
960,1596,0,2.9,1,7,Tidak,7,0.7,149,2,9,169,1190,2493,14.0,12,13,1,1,1,2000k-3000k
974,672,1,0.5,1,0,Tidak,54,0.9,95,4,11,578,1143,667,17.0,8,14,0,0,0,0-<1000k
140,1753,0,0.5,1,0,Ya,31,0.1,134,1,18,1590,1926,1324,17.0,0,17,1,0,1,2000k-3000k
1021,1699,0,0.5,1,1,Tidak,59,0.5,97,4,3,466,1768,3796,17.0,10,12,0,1,1,>3000k
1081,530,1,2.6,0,1,Tidak,40,0.9,118,6,2,818,1090,1229,16.0,11,2,0,1,0,0-<1000k
1689,1219,0,1.6,1,5,Tidak,4,0.3,169,6,7,1419,1698,1998,9.0,2,4,0,0,0,2000k-3000k
1056,812,0,0.5,1,1,Tidak,64,1.0,106,4,7,35,1309,3102,6.0,0,2,0,0,0,2000k-3000k
1978,1483,1,2.2,0,3,Ya,53,0.7,169,5,11,291,651,1744,6.0,3,10,1,0,0,1000k-<2000k
670,638,0,1.7,1,11,Tidak,27,0.5,102,4,17,1171,1383,2735,7.0,2,9,1,1,0,2000k-3000k
1164,860,1,1.3,1,8,Ya,40,0.7,170,3,13,1573,1581,2832,13.0,7,20,1,1,1,2000k-3000k
1506,848,1,,1,4,Ya,36,0.3,151,4,16,56,527,2289,10.0,2,19,1,1,1,1000k-<2000k
743,1159,1,2.8,0,5,Ya,18,0.5,83,1,7,681,723,2246,8.0,1,3,1,1,0,1000k-<2000k
258,564,0,1.8,1,0,Ya,51,0.5,168,3,1,912,1980,1074,14.0,8,15,1,1,0,0-<1000k
13,803,1,2.1,0,7,Tidak,17,1.0,198,4,11,344,1440,2680,7.0,1,4,1,0,1,2000k-3000k
1792,1777,0,2.2,1,0,Tidak,15,0.2,100,4,7,553,874,1552,10.0,8,10,1,1,0,1000k-<2000k
1211,713,1,1.6,0,7,Ya,2,0.4,181,8,9,1211,1378,485,10.0,6,4,1,1,1,0-<1000k
272,1053,1,0.8,1,7,Ya,45,0.3,103,1,12,594,1767,3086,17.0,6,5,1,1,1,>3000k
114,1804,0,0.5,0,9,Ya,22,0.6,153,7,19,1158,1244,3472,9.0,1,20,1,0,1,>3000k
570,1572,1,0.8,1,7,Ya,8,0.8,169,5,8,577,1237,3461,6.0,3,10,1,1,1,>3000k
241,724,0,2.7,1,0,Tidak,44,0.5,187,7,0,1273,1754,2311,7.0,6,7,1,0,0,2000k-3000k
1757,1944,1,0.5,0,1,Ya,26,0.5,92,4,9,313,712,2322,19.0,8,7,1,0,1,2000k-3000k
